exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
fft,test,ring1,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",fft,200,0.001,mse,128,1870,4.83±0.08,5.97±1.09,26.35±0.37,0.33±0.02
fft,test,ring2,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",fft,200,0.001,mse,128,940,4.96±0.11,6.01±1.24,27.08±0.56,0.21±0.03
fft-stationary,test,ring1,,hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",fft,200,0.001,mse,128,1738,6.04±0.32,14.50±3.97,7.30±0.37,0.56±0.02
fft-stationary,test,ring2,,hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",fft,200,0.001,mse,128,1653,12.42±0.43,21.40±4.77,15.21±0.50,0.18±0.02
fft-stationary,test,ring1,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",fft,200,0.001,mse,128,198,5.57±0.87,13.38±6.33,6.66±0.99,0.68±0.05
fft-stationary,test,ring2,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",fft,200,0.001,mse,128,133,12.67±1.61,22.42±9.35,14.94±1.76,0.28±0.08
fft-stationary,test,ring1,,oura_hr_com,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",fft,200,0.001,mse,128,198,3.62±0.24,4.91±1.76,4.47±0.29,0.93±0.03
fft-stationary,test,ring2,,oura_hr_com,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",fft,200,0.001,mse,128,133,3.60±0.29,4.91±1.99,4.64±0.38,0.93±0.03
fft-stationary,test,ring1,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",fft,200,0.001,mse,128,151,5.13±1.02,13.51±7.26,5.92±1.11,0.64±0.06
fft-stationary,test,ring2,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",fft,200,0.001,mse,128,95,14.82±2.24,26.28±11.52,16.45±2.31,0.05±0.10
fft-stationary,test,ring1,,samsung_hr_com,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",fft,200,0.001,mse,128,151,3.27±0.22,4.25±1.47,4.07±0.29,0.96±0.02
fft-stationary,test,ring2,,samsung_hr_com,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",fft,200,0.001,mse,128,95,3.07±0.26,4.00±1.62,3.89±0.35,0.97±0.03
fft-stationary,test,ring1,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",fft,200,0.001,mse,128,1414,4.58±0.08,5.56±1.07,26.08±0.40,0.27±0.03
fft-stationary,test,ring2,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",fft,200,0.001,mse,128,925,4.93±0.11,5.98±1.24,26.95±0.55,0.21±0.03
fft-motion,test,ring1,,hr,['ir-filtered'],"['deepsquat', 'striding']",fft,200,0.001,mse,128,191,39.25±1.63,45.25±11.65,43.65±1.37,0.09±0.07
fft-motion,test,ring2,,hr,['ir-filtered'],"['deepsquat', 'striding']",fft,200,0.001,mse,128,181,39.52±1.69,45.55±12.20,42.79±1.41,0.10±0.07
fft-motion,test,ring1,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",fft,200,0.001,mse,128,39,40.81±3.57,46.37±17.85,46.17±2.73,-0.10±0.16
fft-motion,test,ring2,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",fft,200,0.001,mse,128,27,42.02±4.37,47.57±20.70,45.30±2.95,-0.16±0.20
fft-motion,test,ring1,,oura_hr_com,['ir-filtered'],"['deepsquat', 'striding']",fft,200,0.001,mse,128,39,42.95±3.54,48.17±19.93,66.46±10.04,0.18±0.16
fft-motion,test,ring2,,oura_hr_com,['ir-filtered'],"['deepsquat', 'striding']",fft,200,0.001,mse,128,27,44.80±4.20,49.64±23.00,62.36±11.85,0.00±0.20
fft-motion,test,ring1,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",fft,200,0.001,mse,128,35,41.95±3.59,46.89±18.16,47.37±2.71,-0.16±0.17
fft-motion,test,ring2,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",fft,200,0.001,mse,128,25,40.88±4.51,46.47±21.02,44.51±3.10,-0.08±0.21
fft-motion,test,ring1,,samsung_hr_com,['ir-filtered'],"['deepsquat', 'striding']",fft,200,0.001,mse,128,35,38.51±3.86,44.59±19.41,56.51±9.52,0.38±0.16
fft-motion,test,ring2,,samsung_hr_com,['ir-filtered'],"['deepsquat', 'striding']",fft,200,0.001,mse,128,25,36.03±4.66,42.64±21.90,49.17±11.01,0.41±0.19
fft-motion,test,ring1,,resp_rr,['ir-filtered-rr'],"['deepsquat', 'striding']",fft,200,0.001,mse,128,30,6.54±0.73,7.64±3.41,33.00±3.21,0.04±0.19
fft-motion,test,ring2,,resp_rr,['ir-filtered-rr'],"['deepsquat', 'striding']",fft,200,0.001,mse,128,15,6.45±1.06,7.58±4.10,35.22±6.75,0.20±0.27
peak,test,ring1,,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",peak,200,0.001,mse,128,1929,18.47±0.44,26.72±5.13,24.72±0.67,0.32±0.02
peak,test,ring2,,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",peak,200,0.001,mse,128,1834,28.53±0.51,36.03±6.01,38.24±0.77,0.00±0.02
peak,test,ring1,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",peak,200,0.001,mse,128,237,19.82±1.32,28.37±8.79,27.78±2.25,0.26±0.06
peak,test,ring2,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",peak,200,0.001,mse,128,160,15.75±1.14,21.33±8.11,21.73±1.93,0.27±0.08
peak,test,ring1,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",peak,200,0.001,mse,128,186,18.93±1.43,27.12±9.36,25.99±2.43,0.30±0.07
peak,test,ring2,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",peak,200,0.001,mse,128,120,17.18±1.56,24.21±10.08,23.29±2.57,0.07±0.09
peak,test,ring1,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",peak,200,0.001,mse,128,1870,2.98±0.07,4.12±0.85,18.39±0.50,0.50±0.02
peak,test,ring2,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",peak,200,0.001,mse,128,1704,3.84±0.08,5.19±1.04,24.62±0.72,0.22±0.02
peak-stationary,test,ring1,,hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",peak,200,0.001,mse,128,1738,18.17±0.46,26.47±5.19,23.49±0.60,0.38±0.02
peak-stationary,test,ring2,,hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",peak,200,0.001,mse,128,1653,28.50±0.55,36.10±6.15,37.93±0.76,0.06±0.02
peak-stationary,test,ring1,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",peak,200,0.001,mse,128,198,19.10±1.40,27.39±8.54,24.83±1.87,0.33±0.07
peak-stationary,test,ring2,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",peak,200,0.001,mse,128,133,13.79±1.12,18.83±7.73,18.77±1.57,0.40±0.08
peak-stationary,test,ring1,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",peak,200,0.001,mse,128,151,18.10±1.54,26.10±9.22,23.07±1.99,0.40±0.08
peak-stationary,test,ring2,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",peak,200,0.001,mse,128,95,14.64±1.65,21.69±10.38,19.30±2.23,0.19±0.10
peak-stationary,test,ring1,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",peak,200,0.001,mse,128,1675,2.85±0.07,3.94±0.85,18.22±0.53,0.44±0.02
peak-stationary,test,ring2,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",peak,200,0.001,mse,128,1532,3.72±0.09,5.06±1.06,24.32±0.75,0.19±0.03
peak-motion,test,ring1,,hr,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,191,21.27±1.42,28.93±10.14,35.86±3.84,0.12±0.07
peak-motion,test,ring2,,hr,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,181,28.85±1.52,35.35±11.13,41.07±3.60,-0.26±0.07
peak-motion,test,ring1,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,39,23.52±3.73,32.90±16.95,42.74±9.61,0.08±0.16
peak-motion,test,ring2,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,27,25.39±3.42,30.80±15.39,36.29±7.98,-0.16±0.20
peak-motion,test,ring1,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,35,22.52±3.69,31.14±16.94,38.62±9.45,0.08±0.17
peak-motion,test,ring2,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,25,26.86±3.56,32.04±15.83,38.45±8.48,-0.27±0.20
peak-motion,test,ring1,,resp_rr,['ir-filtered-rr'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,195,4.15±0.25,5.41±1.73,19.88±1.50,0.30±0.07
peak-motion,test,ring2,,resp_rr,['ir-filtered-rr'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,172,4.90±0.29,6.23±2.02,27.24±2.56,0.14±0.08
ratio,test,ring1,,spo2,"['ir-raw', 'red-raw']",['spo2'],ratio,200,0.001,mse,128,456,3.57±0.14,4.65±1.34,3.86±0.16,0.30±0.04
ratio,test,ring2,,spo2,"['ir-raw', 'red-raw']",['spo2'],ratio,200,0.001,mse,128,262,3.31±0.13,3.95±1.15,3.58±0.15,0.28±0.06
resnet-latest,5fold,ring1,,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,1929,5.18±0.17,8.96±2.56,6.99±0.31,0.73±0.02
resnet-latest,5fold,ring2,,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,1834,8.09±0.19,11.51±2.66,10.49±0.31,0.37±0.02
resnet-latest,5fold,ring1,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,1870,3.37±0.06,4.29±0.82,21.53±0.51,0.22±0.02
resnet-latest,5fold,ring2,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,1704,3.48±0.07,4.43±0.85,21.55±0.57,0.10±0.02
inception-time-latest,5fold,ring1,,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,1929,6.69±0.18,10.31±2.57,8.75±0.30,0.62±0.02
inception-time-latest,5fold,ring2,,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,1834,8.20±0.18,11.16±2.42,10.65±0.28,0.36±0.02
inception-time-latest,5fold,ring1,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,1870,3.25±0.06,4.20±0.82,20.78±0.52,0.23±0.02
inception-time-latest,5fold,ring2,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,1704,3.36±0.07,4.33±0.83,20.70±0.56,0.16±0.02
transformer-latest,5fold,ring1,,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,1929,7.94±0.18,11.22±2.60,10.22±0.33,0.54±0.02
transformer-latest,5fold,ring2,,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,1834,8.88±0.18,11.83±2.49,11.51±0.29,0.02±0.02
transformer-latest,5fold,ring1,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,1870,3.36±0.06,4.33±0.82,21.62±0.55,0.02±0.02
transformer-latest,5fold,ring2,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,1704,3.40±0.07,4.38±0.85,21.08±0.58,0.02±0.02
mamba2-latest,5fold,ring1,,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.0001,mse,32,1929,9.12±0.20,12.55±2.79,12.35±0.36,0.51±0.02
mamba2-latest,5fold,ring2,,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.0001,mse,32,1834,9.55±0.19,12.66±2.67,12.37±0.32,0.02±0.02
mamba2-latest,5fold,ring1,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.0001,mse,32,1870,3.29±0.06,4.23±0.79,22.20±0.60,0.15±0.02
mamba2-latest,5fold,ring2,,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.0001,mse,32,1704,3.30±0.07,4.28±0.83,21.20±0.62,0.13±0.02
resnet-latest,test,ring2,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,120,23.28±2.73,37.82±15.49,28.99±3.45,0.11±0.09
resnet-latest,test,ring1,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,186,23.13±2.44,40.49±14.89,29.33±3.07,0.25±0.07
resnet-latest,test,ring2,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",resnet,200,0.001,mse,128,25,30.88±5.52,41.06±22.21,39.11±7.88,0.00±0.21
resnet-latest,test,ring1,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",resnet,200,0.001,mse,128,35,37.16±5.87,50.51±24.81,48.48±7.68,-0.01±0.17
resnet-latest,test,ring2,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,95,21.28±3.11,36.92±16.58,26.32±3.80,0.15±0.10
resnet-latest,test,ring1,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,151,19.87±2.62,37.79±15.18,24.90±3.24,0.37±0.08
resnet-latest,test,ring2,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,160,17.55±2.14,32.15±13.73,22.08±2.67,0.11±0.08
resnet-latest,test,ring1,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,237,19.64±1.98,36.15±13.23,25.49±2.54,0.27±0.06
resnet-latest,test,ring2,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",resnet,200,0.001,mse,128,27,29.64±5.22,39.82±21.49,37.16±7.42,0.03±0.20
resnet-latest,test,ring1,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",resnet,200,0.001,mse,128,39,36.25±5.34,48.97±23.61,49.10±7.20,-0.04±0.16
resnet-latest,test,ring2,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,133,15.10±2.29,30.35±14.35,19.02±2.78,0.15±0.09
resnet-latest,test,ring1,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,198,16.36±2.05,33.04±13.24,20.84±2.57,0.40±0.07
inception-time-latest,test,ring1,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,186,8.90±0.69,12.92±5.25,11.65±1.21,0.56±0.06
inception-time-latest,test,ring2,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,120,10.22±0.89,14.10±5.78,12.67±1.33,0.42±0.08
inception-time-latest,test,ring1,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",inception_time,200,0.001,mse,128,35,17.70±2.68,23.62±11.01,25.29±5.41,0.06±0.17
inception-time-latest,test,ring2,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",inception_time,200,0.001,mse,128,25,15.92±3.02,21.74±11.35,20.61±5.36,0.39±0.19
inception-time-latest,test,ring1,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,151,6.86±0.44,8.74±3.07,8.49±0.57,0.75±0.05
inception-time-latest,test,ring2,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,95,8.72±0.73,11.26±4.50,10.58±0.83,0.50±0.09
inception-time-latest,test,ring1,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,237,8.61±0.60,12.56±4.90,11.58±1.06,0.61±0.05
inception-time-latest,test,ring2,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,160,9.44±0.72,13.06±5.22,11.91±1.05,0.46±0.07
inception-time-latest,test,ring1,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",inception_time,200,0.001,mse,128,39,18.97±2.59,24.80±10.86,28.16±5.30,0.04±0.16
inception-time-latest,test,ring2,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",inception_time,200,0.001,mse,128,27,16.32±2.98,22.29±11.47,20.52±5.01,0.31±0.19
inception-time-latest,test,ring1,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,198,6.57±0.35,8.23±2.62,8.32±0.47,0.80±0.04
inception-time-latest,test,ring2,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,133,8.04±0.55,10.21±3.70,10.16±0.68,0.56±0.07
mamba2-latest,test,ring1,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.0001,mse,32,186,9.99±0.71,13.90±5.64,13.72±1.43,0.52±0.06
mamba2-latest,test,ring1,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",mamba2,200,0.0001,mse,32,35,19.14±2.63,24.51±11.94,29.42±6.32,-0.02±0.17
mamba2-latest,test,ring1,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",mamba2,200,0.0001,mse,32,151,7.87±0.50,9.94±3.52,10.08±0.72,0.71±0.06
mamba2-latest,test,ring2,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.0001,mse,32,120,13.77±0.92,17.04±6.41,17.44±1.54,-0.17±0.09
mamba2-latest,test,ring2,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",mamba2,200,0.0001,mse,32,25,19.41±3.18,24.89±12.93,25.56±6.13,-0.39±0.19
mamba2-latest,test,ring2,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",mamba2,200,0.0001,mse,32,95,12.28±0.75,14.27±4.57,15.30±1.01,-0.09±0.10
mamba2-latest,test,ring1,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.0001,mse,32,237,10.41±0.63,14.25±5.22,14.57±1.27,0.53±0.06
mamba2-latest,test,ring1,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",mamba2,200,0.0001,mse,32,39,19.92±2.50,25.17±11.54,31.90±6.17,0.09±0.16
mamba2-latest,test,ring1,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",mamba2,200,0.0001,mse,32,198,8.54±0.48,10.88±3.61,11.15±0.72,0.69±0.05
mamba2-latest,test,ring2,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.0001,mse,32,160,13.38±0.76,16.43±5.69,17.47±1.27,-0.25±0.08
mamba2-latest,test,ring2,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",mamba2,200,0.0001,mse,32,27,19.00±3.07,24.61±12.62,24.56±5.74,-0.32±0.19
mamba2-latest,test,ring2,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",mamba2,200,0.0001,mse,32,133,12.24±0.63,14.21±4.16,16.03±0.96,-0.24±0.08
transformer-latest,test,ring1,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,186,9.97±0.69,13.72±5.41,12.78±1.29,0.50±0.06
transformer-latest,test,ring1,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",transformer,200,0.001,mse,128,35,18.44±2.50,23.52±11.27,27.55±5.87,0.07±0.17
transformer-latest,test,ring1,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,151,8.00±0.51,10.18±3.74,9.36±0.55,0.68±0.06
transformer-latest,test,ring2,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",transformer,200,0.001,mse,128,25,16.47±3.11,22.44±11.76,21.21±5.43,0.39±0.19
transformer-latest,test,ring2,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,95,10.96±0.79,13.37±4.60,13.30±0.92,-0.09±0.10
transformer-latest,test,ring2,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,120,12.10±0.92,15.70±5.92,14.95±1.36,0.08±0.09
transformer-latest,test,ring1,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,237,9.90±0.63,13.87±5.13,12.97±1.17,0.48±0.06
transformer-latest,test,ring1,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",transformer,200,0.001,mse,128,39,19.47±2.44,24.62±11.08,30.47±5.87,0.09±0.16
transformer-latest,test,ring1,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,198,8.02±0.49,10.53±3.82,9.52±0.53,0.63±0.06
transformer-latest,test,ring2,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",transformer,200,0.001,mse,128,27,16.76±3.02,22.76±11.66,21.03±5.07,0.33±0.19
transformer-latest,test,ring2,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,133,10.11±0.63,12.44±4.11,12.88±0.82,-0.01±0.09
transformer-latest,test,ring2,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,160,11.23±0.75,14.70±5.36,14.26±1.11,0.09±0.08
